2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250414_204408.png,pdm_1d_20250414_204408.png,"[3.2346742153167725, 5.259280681610107, 24.7524356842041, 9.741434097290039]",0,2,0
pdm_2d_20250414_204455.png,pdm_1d_20250414_204455.png,"[4.189366817474365, 7.157990455627441, 15.10511589050293, 13.145057678222656]",0,2,1
pdm_2d_20250414_204543.png,pdm_1d_20250414_204543.png,"[4.521846771240234, 8.433721542358398, 8.571975708007812, 12.69520092010498]",0,2,2
pdm_2d_20250414_204644.png,pdm_1d_20250414_204644.png,"[nan, 5.055377006530762, 0.08067253977060318, 9.40388298034668]",0,0,3
pdm_2d_20250414_204905.png,pdm_1d_20250414_204905.png,"[9.053009986877441, 17.29070281982422, 31.187545776367188, 17.725360870361328]",0,2,0
pdm_2d_20250414_204951.png,pdm_1d_20250414_204951.png,"[12.31378173828125, 22.010116577148438, 17.994951248168945, 22.73456382751465]",0,2,1
pdm_2d_20250414_205039.png,pdm_1d_20250414_205039.png,"[11.924854278564453, 22.51749610900879, 9.09415054321289, 19.886619567871094]",0,2,2
pdm_2d_20250414_205128.png,pdm_1d_20250414_205128.png,"[377.8439025878906, 388.9218444824219, 367.27679443359375, 381.85443115234375]",1,3,3
pdm_2d_20250414_205157.png,pdm_1d_20250414_205157.png,"[118.28651428222656, 134.7562713623047, 110.38133239746094, 114.6721420288086]",0,1,4
pdm_2d_20250414_205410.png,pdm_1d_20250414_205410.png,"[8.744489669799805, 17.195709228515625, 17.24264144897461, 37.07600402832031]",0,3,0
pdm_2d_20250414_205458.png,pdm_1d_20250414_205458.png,"[11.626128196716309, 22.12782096862793, 22.34477424621582, 37.39875411987305]",0,3,1
None,None,"[11.626128196716309, 22.12782096862793, 22.34477424621582, 37.39875411987305]",0,3,2
